1.08311e-07	0.00158635	1.09694e-05
1.27063e-07	0.00171252	1.09765e-05
1.49061e-07	0.00185329	1.05927e-05
1.74867e-07	0.0019895	1.02486e-05
2.05142e-07	0.00212695	9.81387e-06
2.40657e-07	0.00229943	9.41111e-06
2.82322e-07	0.00256577	9.32897e-06
3.312e-07	0.00276981	8.83883e-06
3.8854e-07	0.00305661	8.682e-06
4.55807e-07	0.00328616	8.52344e-06
5.34719e-07	0.00351718	8.24547e-06
6.27294e-07	0.00380675	8.21144e-06
7.35896e-07	0.00416589	8.18974e-06
8.633e-07	0.00449918	8.16645e-06
1.01276e-06	0.00485036	8.03573e-06
1.1881e-06	0.00528789	8.00377e-06
1.39379e-06	0.0057558	8.02026e-06
1.6351e-06	0.00627475	8.00629e-06
1.91818e-06	0.00690045	8.07679e-06
2.25027e-06	0.00749389	8.05411e-06
2.63985e-06	0.00804195	7.93448e-06
3.09688e-06	0.00854338	7.65894e-06
3.63304e-06	0.00910626	7.37869e-06
4.26202e-06	0.00977738	7.09244e-06
4.99989e-06	0.00995004	6.47104e-06
5.86551e-06	0.0109198	6.34069e-06
6.88099e-06	0.0122736	6.29284e-06
8.07228e-06	0.0136583	6.11036e-06
9.46982e-06	0.0150527	5.96906e-06
1.11093e-05	0.0164424	5.88992e-06
1.30326e-05	0.0179519	5.91919e-06
1.5289e-05	0.0193169	6.18502e-06
1.79359e-05	0.0199676	6.778e-06
2.10411e-05	0.0193821	7.78624e-06
2.46839e-05	0.0176416	9.49876e-06
2.89574e-05	0.015307	1.24179e-05
3.39707e-05	0.0136754	1.89761e-05
3.9852e-05	0.0133984	3.60121e-05
4.67514e-05	0.0137704	7.29854e-05
5.48454e-05	0.011258	0.000131685
